"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"150","S01006655",773.82,180.95,1594.88,2097.26,215.67,0,489.44,129.48
"151","S01006656",269.97,678.5,201.8,992.26,337.89,0,268.31,120
"152","S01006657",591.36,178.53,0,264.46,115.05,0,461.25,0
"153","S01006658",0,0,0,1573.59,115.71,0,318.74,0
"154","S01006659",0,0,0,1050.88,0,0,54.63,37.99
"155","S01006660",0,263.69,0,154.44,0,0,1201.35,0
"156","S01006661",0,139.97,0,1100.17,0,0,0,402.86
"157","S01006662",342.09,426.99,0,1944.24,5.53,0,451.62,0
"158","S01006663",145.88,0,0,821.19,253.57,0,72.14,92.7
"159","S01006664",0,0,0,926.08,213.28,0,181.28,0
"160","S01006665",364.94,0,0,908.41,373.35,0,81.67,210.74
"161","S01006666",0,0,0,896.32,2755.27,0,605.86,0
"162","S01006667",54.09,0,0,1190.06,0,0,0,104.8
"163","S01006668",0,0,0,1396.41,183.61,0,252.35,50.85
"164","S01006669",411.82,89.91,0,1431.39,1015.83,0,683.62,0
"165","S01006670",0,0,0,2047.55,540.11,0,433.58,41.19
"166","S01006671",338.36,0,142.45,3073.8,127.28,0,1161.42,0
"167","S01006672",674.57,0,0,1226.2,144.78,0,0,143.11
"168","S01006673",341.91,0,0,1867.08,0,0,0,0
"169","S01006674",105.68,0,0,1018.99,1656.6,0,264.11,0
"170","S01006675",0,0,0,826.2,84,0,143.61,47.1
"171","S01006676",0,0,0,1045.48,647.32,0,376.37,100.94
"172","S01006677",608.31,0,0,1792.48,94.19,0,239.71,0
"173","S01006678",0,0,774.76,3228.13,1195.89,0,178.04,0
"174","S01006679",0,0,0,2085.29,562.59,0,208.3,1.53
"175","S01006680",0,0,0,1171.38,3.33,0,0,0
"176","S01006681",1137.9,38.82,291.11,2429.91,0.19,0,1137.29,0
"177","S01006682",226.43,212.91,0,1552,3.8,0,60.26,0
"178","S01006683",336.48,19.04,0,1075.1,0,0,0,42.84
"179","S01006684",632.54,0,0,1183.01,208.27,0,144.84,167.7
"180","S01006685",391,565.52,0,780.35,278.05,0,27.56,1.05
"181","S01006686",98.23,134.07,0,1081.81,415.03,0,53.07,0
"182","S01006687",0,0,0,1289.01,752.79,0,295.83,66.88
"183","S01006688",252.17,0,0,2301.27,448.61,0,0,0
"184","S01006689",346.91,115.44,0,2645.83,263.29,0,109.5,195.81
"185","S01006690",0,73.06,0,820.44,198.86,0,0,138.52
"186","S01006691",0,262.77,0,1440.81,0,0,0,213.71
"187","S01006692",566.97,228.5,0,1319.24,15.29,0,98.24,528
"188","S01006693",55.33,577.15,0,1889.39,299,0,3.21,0
"189","S01006694",1149.02,0,0.31,1769.61,221.06,0,780.9,0
"190","S01006695",497.56,0,0,1919.69,301.76,0,50.63,0
"191","S01006696",284.31,0,0,1768.01,397.12,0,0,0
"192","S01006697",618.49,0,0,959.01,193.28,0,41.38,66.2
"193","S01006698",0,0,0,810.47,220.29,0,162.64,0
"194","S01006699",0,0,0,1414.62,113.46,0,0,0
"195","S01006700",798.04,0,0,1834.4,321.7,0,0,145.88
"196","S01006701",0,0,0,1878.63,176.41,0,0,0
"197","S01006702",0,0,0,1709.34,221.83,0,0,44.53
"198","S01006703",344.52,0,0,2276.81,609.75,0,0,0
"199","S01006704",0,0,0,1438.04,278.25,0,0,0
"200","S01006705",0,0,0,1671.07,871.8,0,0,100.73
"201","S01006706",0,0,0,1821.29,74.33,0,0,0
"202","S01006707",381.39,0,0,1815.73,176.99,0,0,1.81
"203","S01006708",0,0,0,2432.64,320.88,0,0,42.25
"204","S01006709",0,0,0,1875.59,581.56,0,0,0
"205","S01006710",0,0,0,2256.23,790.4,0,0,0
"206","S01006711",0,0,0,2168.67,567.43,0,0,0
"207","S01006712",0,0,0,1155.01,315.69,0,0,0
"208","S01006713",0,0,0,2659.49,344.43,0,0,0
"209","S01006714",3.49,0,0,2301.58,102.42,0,88.78,0
"210","S01006715",0,0,0,1552.79,149.34,0,0,0
"211","S01006716",87.99,0,0,2542.19,367.81,0,0,40.11
"212","S01006717",0,0,0,3209.34,281.37,0,98.41,2.09
"213","S01006718",408.81,0,0,2482.88,497.75,0,0,0
"214","S01006719",0,0,0,2034.43,469.04,0,93.13,0
"215","S01006720",0,0,0,1667.15,288.16,0,46.95,0
"216","S01006721",0,0,0,1686.53,846.29,0,124.46,0
"217","S01006722",0,0,0,2077.93,281.33,0,0,190.47
"218","S01006723",0,0,0,1511.74,484.7,0,0,0
"219","S01006724",0,0,0,2332.63,1218.49,0,78,0
"220","S01006725",0,0,0,1921.84,0,0,0,41.23
"221","S01006726",302.54,0,0,2267.93,612.27,0,201.21,0
"222","S01006727",0,0,0,1611.44,1053.93,0,220.27,0
"223","S01006728",0,0,0,1505.12,145.58,0,81.88,0
"224","S01006729",810.33,1.77,0,2663.04,140.93,0,0,0
"225","S01006730",0,0,0,1687.97,169.23,0,0,0
"226","S01006731",0,0,0,1079.97,288.56,0,0,0
"227","S01006732",5161.42,2829.32,1063.98,8865.86,21666.24,0,24844.27,0
"228","S01006733",0,0,0,3194.92,700.82,0,0,0
"229","S01006734",0,0,0,3701.88,772.94,0,2.9,0
"230","S01006735",0,0,0,2457.15,1031.7,0,0,0
"231","S01006736",0,0,0,2623.79,866.45,0,0,0
"232","S01006737",1615.77,0,0,3936.52,2394.2,0,4128.42,0
"233","S01006738",1191.72,0,421.53,2200.68,1238.96,0,747.28,79.47
"234","S01006739",1142.98,0,130.56,3961.54,861.32,0,340.15,0
"235","S01006740",0,0,0,2584.51,230.05,0,0,0
"236","S01006741",0,0,0,2072.31,0.3,0,76.14,0
"237","S01006742",0,0,0,1403.27,0,0,7.42,0
"238","S01006743",743.81,0,43.33,4058.55,287.07,0,1406.92,128.15
"239","S01006744",0,0,0,1325.27,1039.31,0,4.74,183.86
"240","S01006745",1866.96,0,57.2,2578.01,1662.92,0,359.83,0
"241","S01006746",0,0,0,2480.17,298.14,0,0,0
"242","S01006747",849.52,0,0,3474.81,1194.71,0,597.51,360.03
"243","S01006748",1791.22,0,724.77,16056.95,9284.14,0,8125.78,82.33
"244","S01006749",0,0,0,2813.17,288.26,0,50.28,73.28
"245","S01006750",125.4,0,109.64,2533.18,1044.36,0,604.4,0
"246","S01006751",504.56,0,0,1151.44,53.14,0,52.71,0
"247","S01006752",0,0,0,2329.59,0,0,0,0
"248","S01006753",234.11,0,237.53,3311.72,0,0,151.28,0
"249","S01006754",0,0,124.16,4145.52,166.13,0,0,0
"250","S01006755",5317.69,711.65,2581.61,10875.32,16769.58,0,15385.35,2.19
"251","S01006756",0,0,0,2382.29,216.51,0,164.35,325.75
"252","S01006757",0,0,0,2364.78,1067.82,0,0,0
"253","S01006758",0,0,0,2524.97,21.2,0,109.03,0
"254","S01006759",0,0,0,2364.86,0,0,592.55,0
"255","S01006760",137.47,0,0,1289.84,327.54,0,0,0
"256","S01006761",603.04,0,0,3251.94,640.26,0,602.14,0
"257","S01006762",1710.35,1497.8,63.68,4721.57,7737.16,0,8884.77,0
"258","S01006763",0,0,0,1823.33,159.51,0,0,0
"259","S01006764",0,0,0,1657.8,267.25,0,0,0
"260","S01006765",0,0,0,1231.96,85.4,0,6.67,37.89
"261","S01006766",0,0,0,1787.3,207.29,0,0,0
"262","S01006767",0,0,0,2064.86,248.48,0,315.15,0
"263","S01006768",241.55,0,0,2540.26,0,0,208.51,0
"264","S01006769",289.63,0,0,2354.34,32.01,0,216.07,0
"265","S01006770",105.55,0,0,1892.32,1.53,0,0,0
"266","S01006771",0,0,0,1402.15,66.04,0,0,0
"267","S01006772",354.27,468.93,0,2887.47,322.98,0,229.58,0
"268","S01006773",0,0,0,1955.91,854.69,0,165.59,0
"269","S01006774",0,0,0,1447.77,0,0,0,0
"270","S01006775",37.51,0,41.66,4532.61,1791.97,0,563.62,36.38
"271","S01006776",0,0,0,1086.53,0,0,0,0
"272","S01006777",331.23,119.74,0,1724.58,0,0,0,0
"273","S01006778",0,0,0,2318.56,204.09,0,250.85,0
"274","S01006779",0,166.91,0,1777.99,0,0,139.82,66.56
"275","S01006780",0,462.88,0,2172.78,394.41,0,427.6,44.16
"276","S01006781",0,478,0,2319.19,0,0,0,0
"277","S01006782",2242.7,224.3,0,6362.88,1828.62,0,647.78,0
"278","S01006783",89.46,281.91,0,2325.5,369.16,0,0,0
"279","S01006784",273.82,321.34,0,1635.08,0,0,304.73,283.95
"280","S01006785",0,0,0,1408.15,63.53,0,0,0
"281","S01006786",0,0,0,2911.89,445.77,0,218.84,0
"282","S01006787",60.62,0,0,2281.44,33,0,282.2,0
"283","S01006788",3576.72,3764.26,0,11120.14,7741.35,0,11708.58,966.01
"284","S01006789",788.74,0,16.57,5178.43,0,0,438.12,0
"285","S01006790",1167.49,44.8,0,5629.55,0,0,390.8,47.63
"286","S01006791",37252.92,8361.45,15347.67,7628.36,33668.53,0,98842.55,0
"287","S01006792",35434.17,26251.81,213.76,2125.46,24234.71,0,101363.12,0
"288","S01006793",23761.85,0,3433.33,7931.12,21938.71,0,86547.43,0
"289","S01006794",0,16.06,0,2525.87,1273.14,0,404.47,82.97
"290","S01006795",1570.32,607.34,168.6,3785.93,1868.07,0,814.88,109.65
"291","S01006796",8885.39,4997.94,0,3700.24,2800.38,0,11994.52,0
"292","S01006797",4582.81,17463.82,1982.65,6072.75,13424.93,0,95409.4,0
"293","S01006798",113.29,12638.24,0,20300.8,15393.12,0,45523.52,0
"294","S01006799",973.64,0,0,4933.58,0,0,1639.95,91.8
"295","S01006800",0,20557.16,0,2071.96,23176.19,0,100879.98,0
"296","S01006801",8093.47,4675.13,533.27,4821.8,23413.47,0,16645.39,0
"297","S01006802",0,21015.76,0,3970.91,19107.43,0,27522.69,64.68
"298","S01006803",467.04,0,0,2468.61,0,0,91.53,134.87
"299","S01006804",0,610.38,0,2415.63,257.74,0,268.03,0
"300","S01006805",3908.63,8371.2,850.42,6578.52,20206.28,0,23250.4,0
"301","S01006806",10757.62,6041.38,243.04,2411.55,21405.27,0,22221.07,49.2
"302","S01006807",581.85,2302.34,2214.18,2594.46,30941.81,0,31089.51,0
"303","S01006808",3793.41,275.14,1201.06,3531.71,19992.66,0,16565.6,43.61
"304","S01006809",3115.95,0,29.02,2155.34,5979.5,0,4912.23,0
"305","S01006810",5486.26,0,0,5844.39,13075.11,0,17177.21,0
"306","S01006811",0,8670.22,1009.7,6817.08,37586.54,0,94277.23,154.76
"307","S01006812",5600.01,7856.51,479.67,4537.91,23463.99,0,31045.08,0
"308","S01006813",25.19,0,0,2899.35,1232,0,530.29,62.84
"309","S01006814",533.38,0,0,3474.57,242.27,0,95.13,77.29
"310","S01006815",135.72,0,67.69,1755.53,27.15,0,116.33,0
"311","S01006816",445.96,0,265.43,3121.99,16.13,0,1014.52,0
"312","S01006817",8035.34,2598.18,1365.45,2820.58,18993.22,0,26156.48,175.77
"313","S01006818",4124.94,0,0,3212.5,36319.03,0,57655.56,0
"314","S01006819",16298.24,0,0,2318.5,50487.14,0,27783.87,54.59
"315","S01006820",1902.23,0,0,1424.97,4225.79,0,2331.41,0
"316","S01006821",3833.14,1727.01,1413.1,7395.88,36418.89,0,33110.17,0
"317","S01006822",16768.06,10339.36,879.83,10781.5,32129.82,0,80763.03,0
"318","S01006823",64.31,0,0,2842.21,682.95,0,50.06,0
"319","S01006824",0,0,0,1228.91,924.31,0,0,0
"320","S01006825",0,0,0,1662.63,870.38,0,344.17,0
"321","S01006826",250.1,0,0,2973.15,1879.37,0,946.58,109.58
"322","S01006827",3.82,0,0,2098.14,646.65,0,0,0
"323","S01006828",539.14,4.05,0,2481.44,171.92,0,0,0
"324","S01006829",409.53,0,0,1341.76,975.68,0,158.23,0
"325","S01006830",0,0,0,2438.91,484.33,0,0,0
"326","S01006831",0,0,0,1867.03,0,0,0,0
"327","S01006832",633.64,0,0,1997.35,1199.93,0,58.71,212.96
"328","S01006833",453.28,0,0,2588.69,578.41,0,57.03,0
"329","S01006834",0,0,0,1363.43,0,0,50.69,0
"330","S01006835",122.84,623.31,0,2521.33,435.95,0,953.59,0
"331","S01006836",0,46.73,101.29,1267.04,3.47,0,434.74,0
"332","S01006837",872.94,0,0,1887.04,122.35,0,0,0
"333","S01006838",0,0,0,1756.67,262.42,0,0,0
"334","S01006839",0,0,0,3438.62,361.27,0,0,0
"335","S01006840",0,0,0,3823.73,573.58,0,359.29,0
"336","S01006841",1064.2,0,0,3336.07,210.33,0,454.02,0
"337","S01006842",258.5,0,0,2716.11,683.24,0,249.35,0
"338","S01006843",372.08,0,0,2563.12,594.32,0,0,0
"339","S01006844",0,0,0,1981.28,418.22,0,3.28,0
"340","S01006845",0,0,0,2918.47,358.41,0,37.24,0
"341","S01006846",0,0,0,1354.43,269.37,0,0,0
"342","S01006847",40.67,0,133.7,1735.27,1746.78,0,740.51,0
"343","S01006848",3324.45,3284.61,336.16,8026.42,41586.77,0,27175.73,0
"344","S01006849",0,0,41.01,7204.46,1410.64,0,791.46,0
"345","S01006850",0,0,0,1011.85,642.52,0,0,0
"346","S01006851",652.29,0,0,2361.97,1066.75,0,661.2,0
"347","S01006852",0,0,961.55,3909.01,4087.38,0,3047.82,0
"348","S01006853",0,13947.02,2314.91,3173.08,24632.42,0,24937.2,0
"349","S01006854",716.63,0,0,3015.99,611.68,0,915.99,0
"350","S01006855",9304.73,7347.63,36.98,1168.22,53280.72,0,68994.86,0
"351","S01006856",7081.67,7297.12,0,2789.71,15910.18,0,33264.13,0
"352","S01006857",6609.35,18208.92,1042.83,5151.24,36641.37,0,63911.61,0
"353","S01006858",1327.53,11600.44,0,3468.75,30298.9,0,35476.42,0
"354","S01006859",252.01,0,0,4205.09,302.89,0,163.66,0
"355","S01006860",735.34,0,0,931.62,2.83,0,159.86,0
"356","S01006861",0,0,227.58,2221.67,1434.39,0,105.56,0
"357","S01006862",734,0,0,1929.41,0,0,714.31,0
"358","S01006863",715.76,0,0,2010.05,474.54,0,225.69,0
"359","S01006864",0,0,0,1665.11,874.19,0,0,0
"360","S01006865",1769.45,318.41,0,2837.49,1249.06,0,2554.37,102.73
"361","S01006866",0,0,0,2127.36,159.81,0,0,0
"362","S01006867",366.79,0,2.32,2605.99,1297.76,0,1395.01,213.86
"363","S01006868",102.18,0,0,3105.19,484.1,0,118.16,0
"364","S01006869",6650.65,3116.04,0,914.15,9940.25,0,10769.99,39.18
"365","S01006870",85.45,674.14,0,2648.54,566.57,0,362.82,46.72
"366","S01006871",757.37,445.59,0,2714.24,39.99,0,624.87,0
"367","S01006872",8549.87,0,839.45,4730.5,24562.31,0,27343.32,0
